,,ºC ,m,(cm Campbell),cant,ºC ,ºC 
fecha,zona,ts,h,hs_12cm,dd,cuerpo_negro,raytek
19/08/2022,1,16.8,0.137,38,193,19.4,18
19/08/2022,1,17.4,0.148,35,206,19.4,18
19/08/2022,1,17.4,0.152,28,,19.4,18
19/08/2022,2,16.6,0.15,39,238,19.4,18
19/08/2022,2,16.2,0.118,37,,19.4,18
19/08/2022,2,15.4,0.125,37,,19.4,18
19/08/2022,3,18,0.128,30,279,19.4,18
19/08/2022,3,18,0.132,31,,19.4,18
19/08/2022,3,17.6,0.134,26,,19.4,18
05/09/2022,1,21.8,0.2,28,,22.9,21.6
05/09/2022,1,20.2,0.22,25,,22.9,21.6
05/09/2022,1,20.6,0.18,29,,22.9,21.6
05/09/2022,2,22,0.19,22,,22.9,21.6
05/09/2022,2,22.4,0.22,21,,22.9,21.6
05/09/2022,2,22.4,0.12,24,,22.9,21.6
05/09/2022,3,24.2,0.22,18,,22.9,21.6
05/09/2022,3,25.2,0.23,19,,22.9,21.6
05/09/2022,3,23.6,0.21,21,,22.9,21.6
22/09/2022,1,25.4,0.203,16,,16.5,16.4
22/09/2022,1,23.8,0.242,21,,16.5,16.4
22/09/2022,1,25.2,0.187,20,,16.5,16.4
22/09/2022,2,14.8,0.187,19,,16.5,16.4
22/09/2022,2,12.6,0.207,17,,16.5,16.4
22/09/2022,2,12.4,0.212,18,,16.5,16.4
11/10/2022,1,,0.35,20.4,,18.9,19.2
11/10/2022,1,,0.37,,,18.9,19.2
11/10/2022,1,,0.359,,,18.9,19.2
11/10/2022,2,20,0.368,,,18.9,19.2
11/10/2022,2,23.6,0.392,,,18.9,19.2
11/10/2022,2,20,0.331,,,18.9,19.2
01/11/2022,1,18.2,0.62,22,,16.7,16.4
01/11/2022,1,18.4,0.6,34,,16.7,16.4
01/11/2022,1,18.2,0.62,26,,16.7,16.4
01/11/2022,2,22.6,0.59,28,,16.7,16.4
01/11/2022,2,19.2,0.52,33,,16.7,16.4
01/11/2022,2,18.8,0.61,21,,16.7,16.4
01/11/2022,3,20.6,0.66,35,,16.7,16.4
01/11/2022,3,21.6,0.62,29,,16.7,16.4
01/11/2022,3,22.2,0.59,34,,16.7,16.4
24/11/2022,1,29.6,0.67,17,,28.7,28.6
24/11/2022,1,28.8,0.64,20,,28.7,28.6
24/11/2022,1,29.6,0.7,17,,28.7,28.6
24/11/2022,2,31,0.59,18,,28.7,28.6
24/11/2022,2,28.8,0.61,21,,28.7,28.6
24/11/2022,2,29.8,0.59,19,,28.7,28.6
24/11/2022,3,30.4,0.59,17,,28.7,28.6
24/11/2022,3,31,0.56,18,,28.7,28.6
24/11/2022,3,30.2,0.6,24,,28.7,28.6
,,,,,,,
