fecha,n_firma,zona,nombre_zona,distancia
19/8/2022,1,1,bajo,1
19/8/2022,2,1,bajo,1
19/8/2022,3,1,bajo,1
19/8/2022,4,1,bajo,2
19/8/2022,5,1,bajo,2
19/8/2022,6,1,bajo,2
19/8/2022,7,2,media_loma,1
19/8/2022,8,2,media_loma,1
19/8/2022,9,2,media_loma,1
19/8/2022,10,2,media_loma,2
19/8/2022,11,2,media_loma,2
19/8/2022,12,2,media_loma,2
19/8/2022,13,3,loma,1
19/8/2022,14,3,loma,1
19/8/2022,15,3,loma,1
19/8/2022,16,3,loma,2
19/8/2022,17,3,loma,2
19/8/2022,18,3,loma,2
5/9/2022,1,1,bajo,1
5/9/2022,2,1,bajo,1
5/9/2022,3,1,bajo,1
5/9/2022,4,1,bajo,2
5/9/2022,5,1,bajo,2
5/9/2022,6,1,bajo,2
5/9/2022,7,2,media_loma,1
5/9/2022,8,2,media_loma,1
5/9/2022,9,2,media_loma,1
5/9/2022,10,2,media_loma,2
5/9/2022,11,2,media_loma,2
5/9/2022,12,2,media_loma,2
5/9/2022,13,3,loma,1
5/9/2022,14,3,loma,1
5/9/2022,15,3,loma,1
5/9/2022,16,3,loma,2
5/9/2022,17,3,loma,2
5/9/2022,18,3,loma,2
22/9/2022,1,1,bajo,1
22/9/2022,2,1,bajo,1
22/9/2022,3,1,bajo,1
22/9/2022,4,1,bajo,2
22/9/2022,5,1,bajo,2
22/9/2022,6,1,bajo,2
22/9/2022,7,2,media_loma,1
22/9/2022,8,2,media_loma,1
22/9/2022,9,2,media_loma,1
22/9/2022,10,2,media_loma,2
22/9/2022,11,2,media_loma,2
22/9/2022,12,2,media_loma,2
11/10/2022,1,1,bajo,1
11/10/2022,2,1,bajo,1
11/10/2022,3,1,bajo,1
11/10/2022,4,1,bajo,2
11/10/2022,5,1,bajo,2
11/10/2022,6,1,bajo,2
11/10/2022,7,2,media_loma,1
11/10/2022,8,2,media_loma,1
11/10/2022,9,2,media_loma,1
11/10/2022,10,2,media_loma,2
11/10/2022,11,2,media_loma,2
11/10/2022,12,2,media_loma,2
1/11/2022,1,1,bajo,1
1/11/2022,2,1,bajo,1
1/11/2022,3,1,bajo,1
1/11/2022,4,1,bajo,2
1/11/2022,5,1,bajo,2
1/11/2022,6,1,bajo,2
1/11/2022,7,2,media_loma,1
1/11/2022,8,2,media_loma,1
1/11/2022,9,2,media_loma,1
1/11/2022,10,2,media_loma,2
1/11/2022,11,2,media_loma,2
1/11/2022,12,2,media_loma,2
1/11/2022,13,3,loma,1
1/11/2022,14,3,loma,1
1/11/2022,15,3,loma,1
1/11/2022,16,3,loma,2
1/11/2022,17,3,loma,2
1/11/2022,18,3,loma,2
24/11/2022,1,1,bajo,1
24/11/2022,2,1,bajo,1
24/11/2022,3,1,bajo,1
24/11/2022,4,1,bajo,2
24/11/2022,5,1,bajo,2
24/11/2022,6,1,bajo,2
24/11/2022,7,2,media_loma,1
24/11/2022,8,2,media_loma,1
24/11/2022,9,2,media_loma,1
24/11/2022,10,2,media_loma,2
24/11/2022,11,2,media_loma,2
24/11/2022,12,2,media_loma,2
24/11/2022,13,3,loma,1
24/11/2022,14,3,loma,1
24/11/2022,15,3,loma,1
24/11/2022,16,3,loma,2
24/11/2022,17,3,loma,2
24/11/2022,18,3,loma,2
